weekstatus,day_of_week,load_type,lagging_current_reactive_power_kvarh,leading_current_reactive_power_kvarh,co2_tco2_,lagging_current_power_factor,leading_current_power_factor,nsm,usage_kwh
Weekday,Monday,Light_Load,0.0,21.64,0.0,100.0,18.48,60300,4.07
Weekday,Monday,Light_Load,0.0,19.19,0.0,100.0,19.52,61200,3.82
Weekday,Monday,Light_Load,0.0,16.96,0.0,100.0,20.54,62100,3.56
Weekday,Monday,Light_Load,0.0,23.51,0.0,100.0,17.18,63000,4.1
Weekday,Monday,Light_Load,0.0,17.39,0.0,100.0,20.27,63900,3.6
Weekday,Monday,Light_Load,0.0,17.35,0.0,100.0,20.32,64800,3.6
Weekday,Monday,Light_Load,0.0,8.96,0.0,100.0,40.77,65700,4.0
Weekday,Monday,Light_Load,0.0,5.47,0.0,100.0,53.01,66600,3.42
Weekday,Monday,Light_Load,0.0,16.24,0.0,100.0,22.04,67500,3.67
Weekday,Monday,Light_Load,0.0,22.57,0.0,100.0,17.75,68400,4.07
Weekday,Monday,Light_Load,0.0,17.39,0.0,100.0,19.89,69300,3.53
Weekday,Monday,Light_Load,0.0,20.74,0.0,100.0,18.25,70200,3.85
Weekday,Monday,Light_Load,0.0,20.88,0.0,100.0,18.63,71100,3.96
Weekday,Monday,Light_Load,0.0,17.35,0.0,100.0,20.1,72000,3.56
Weekday,Monday,Light_Load,0.0,22.54,0.0,100.0,17.6,72900,4.03
Weekday,Monday,Light_Load,0.0,19.55,0.0,100.0,18.79,73800,3.74
Weekday,Monday,Light_Load,0.0,17.42,0.0,100.0,20.02,74700,3.56
Weekday,Monday,Light_Load,0.0,24.26,0.0,100.0,17.1,75600,4.21
Weekday,Monday,Light_Load,0.0,17.75,0.0,100.0,19.66,76500,3.56
Weekday,Monday,Light_Load,0.0,17.42,0.0,100.0,19.86,77400,3.53
Weekday,Monday,Light_Load,0.0,25.2,0.0,100.0,16.63,78300,4.25
Weekday,Monday,Light_Load,0.0,17.5,0.0,100.0,19.77,79200,3.53
Weekday,Monday,Light_Load,1.44,10.08,0.0,92.7,33.3,80100,3.56
Weekday,Monday,Light_Load,4.21,0.0,0.0,65.71,100.0,81000,3.67
Weekday,Monday,Light_Load,3.35,0.0,0.0,69.52,100.0,81900,3.24
Weekday,Monday,Light_Load,3.74,0.0,0.0,68.64,100.0,82800,3.53
Weekday,Monday,Light_Load,3.42,0.0,0.0,71.82,100.0,83700,3.53
Weekday,Monday,Light_Load,2.95,0.0,0.0,73.94,100.0,84600,3.24
Weekday,Monday,Light_Load,3.96,0.0,0.0,67.97,100.0,85500,3.67
Weekday,Monday,Light_Load,3.46,0.0,0.0,70.3,100.0,0,3.42
Weekday,Tuesday,Light_Load,3.1,0.0,0.0,71.82,100.0,900,3.2
Weekday,Tuesday,Light_Load,4.61,0.0,0.0,64.1,100.0,1800,3.85
Weekday,Tuesday,Light_Load,3.67,0.0,0.0,66.64,100.0,2700,3.28
Weekday,Tuesday,Light_Load,3.6,0.0,0.0,68.12,100.0,3600,3.35
Weekday,Tuesday,Light_Load,4.72,0.0,0.0,63.6,100.0,4500,3.89
Weekday,Tuesday,Light_Load,3.53,0.0,0.0,68.07,100.0,5400,3.28
Weekday,Tuesday,Light_Load,3.96,0.0,0.0,65.8,100.0,6300,3.46
Weekday,Tuesday,Light_Load,4.82,0.0,0.0,61.71,100.0,7200,3.78
Weekday,Tuesday,Light_Load,3.53,0.0,0.0,68.4,100.0,8100,3.31
Weekday,Tuesday,Light_Load,4.36,0.0,0.0,63.67,100.0,9000,3.6
Weekday,Tuesday,Light_Load,4.39,0.0,0.0,63.83,100.0,9900,3.64
Weekday,Tuesday,Light_Load,3.71,0.0,0.0,66.24,100.0,10800,3.28
Weekday,Tuesday,Light_Load,4.57,0.0,0.0,63.03,100.0,11700,3.71
Weekday,Tuesday,Light_Load,4.03,0.0,0.0,66.21,100.0,12600,3.56
Weekday,Tuesday,Light_Load,3.49,0.0,0.0,68.04,100.0,13500,3.24
Weekday,Tuesday,Light_Load,4.64,0.0,0.0,64.25,100.0,14400,3.89
Weekday,Tuesday,Light_Load,3.42,0.0,0.0,69.22,100.0,15300,3.28
Weekday,Tuesday,Light_Load,3.49,0.0,0.0,68.48,100.0,16200,3.28
Weekday,Tuesday,Light_Load,4.68,0.0,0.0,64.59,100.0,17100,3.96
Weekday,Tuesday,Light_Load,3.42,0.0,0.0,68.77,100.0,18000,3.24
Weekday,Tuesday,Light_Load,3.78,0.0,0.0,67.52,100.0,18900,3.46
Weekday,Tuesday,Light_Load,4.07,0.0,0.0,66.97,100.0,19800,3.67
Weekday,Tuesday,Light_Load,3.42,0.0,0.0,68.77,100.0,20700,3.24
Weekday,Tuesday,Light_Load,3.96,0.0,0.0,67.97,100.0,21600,3.67
Weekday,Tuesday,Light_Load,3.78,0.0,0.0,68.25,100.0,22500,3.53
Weekday,Tuesday,Light_Load,3.24,0.0,0.0,70.27,100.0,23400,3.2
Weekday,Tuesday,Light_Load,4.07,0.0,0.0,68.05,100.0,24300,3.78
Weekday,Tuesday,Light_Load,3.35,0.0,0.0,70.71,100.0,25200,3.35
Weekday,Tuesday,Light_Load,3.49,0.0,0.0,71.11,100.0,26100,3.53
Weekday,Tuesday,Light_Load,4.57,0.0,0.0,80.95,100.0,27000,6.3
Weekday,Tuesday,Light_Load,4.79,0.0,0.0,78.4,100.0,27900,6.05
Weekday,Tuesday,Light_Load,4.54,0.0,0.0,82.9,100.0,28800,6.73
Weekday,Tuesday,Light_Load,18.83,0.07,0.0,83.89,100.0,29700,29.02
Weekday,Tuesday,Light_Load,28.66,0.0,0.0,84.97,100.0,30600,46.19
Weekday,Tuesday,Light_Load,35.32,0.0,0.0,82.75,100.0,31500,52.06
Weekday,Tuesday,Light_Load,12.53,0.11,0.0,97.6,100.0,32400,56.2
Weekday,Tuesday,Medium_Load,8.32,0.0,0.0,98.95,100.0,33300,56.84
Weekday,Tuesday,Medium_Load,4.54,0.94,0.0,99.61,99.98,34200,51.26
Weekday,Tuesday,Medium_Load,2.34,1.15,0.0,99.88,99.97,35100,48.13
Weekday,Tuesday,Medium_Load,7.06,0.54,0.0,99.12,99.99,36000,52.81
Weekday,Tuesday,Maximum_Load,7.52,0.14,0.0,99.07,100.0,36900,54.79
Weekday,Tuesday,Maximum_Load,8.35,0.11,0.0,98.79,100.0,37800,53.21
Weekday,Tuesday,Maximum_Load,32.4,0.0,0.0,92.72,100.0,38700,80.21
Weekday,Tuesday,Maximum_Load,25.49,0.0,0.0,95.0,100.0,39600,77.58
Weekday,Tuesday,Maximum_Load,70.85,0.0,0.0,87.57,100.0,40500,128.52
Weekday,Tuesday,Maximum_Load,78.48,0.0,0.0,87.87,100.0,41400,144.47
Weekday,Tuesday,Maximum_Load,54.29,0.0,0.0,85.84,100.0,42300,90.86
Weekday,Tuesday,Maximum_Load,66.06,0.0,0.0,88.15,100.0,43200,123.3
Weekday,Tuesday,Medium_Load,5.54,18.9,0.0,96.09,71.3,44100,19.22
Weekday,Tuesday,Medium_Load,0.0,25.92,0.0,100.0,31.03,45000,8.46
Weekday,Tuesday,Medium_Load,0.0,25.34,0.0,100.0,30.92,45900,8.24
Weekday,Tuesday,Medium_Load,0.0,25.49,0.0,100.0,30.05,46800,8.03
Weekday,Tuesday,Medium_Load,27.29,6.52,0.0,94.6,99.67,47700,79.67
Weekday,Tuesday,Medium_Load,46.8,0.0,0.0,90.21,100.0,48600,97.85
Weekday,Tuesday,Medium_Load,49.79,0.0,0.0,92.85,100.0,49500,124.45
Weekday,Tuesday,Medium_Load,43.34,0.0,0.0,92.88,100.0,50400,108.61
Weekday,Tuesday,Medium_Load,55.26,0.0,0.0,91.23,100.0,51300,123.12
Weekday,Tuesday,Medium_Load,53.5,0.0,0.0,92.38,100.0,52200,129.1
Weekday,Tuesday,Medium_Load,27.58,0.0,0.0,94.79,100.0,53100,82.08
Weekday,Tuesday,Medium_Load,60.91,0.0,0.0,92.09,100.0,54000,143.89
Weekday,Tuesday,Medium_Load,34.27,0.0,0.0,93.03,100.0,54900,86.9
Weekday,Tuesday,Medium_Load,62.57,0.0,0.0,91.45,100.0,55800,141.44
Weekday,Tuesday,Medium_Load,52.88,0.0,0.0,91.06,100.0,56700,116.53
Weekday,Tuesday,Medium_Load,61.16,0.0,0.0,90.4,100.0,57600,129.31
Weekday,Tuesday,Medium_Load,56.77,0.0,0.0,92.33,100.0,58500,136.44
Weekday,Tuesday,Medium_Load,34.85,0.0,0.0,92.64,100.0,59400,85.72
Weekday,Tuesday,Medium_Load,65.27,0.0,0.0,91.44,100.0,60300,147.46
Weekday,Tuesday,Medium_Load,30.78,0.0,0.0,94.27,100.0,61200,86.94
Weekday,Tuesday,Maximum_Load,25.81,0.0,0.0,93.36,100.0,62100,67.25
Weekday,Tuesday,Maximum_Load,50.04,0.0,0.0,91.79,100.0,63000,115.78
Weekday,Tuesday,Maximum_Load,34.63,0.0,0.0,95.62,100.0,63900,113.11
Weekday,Tuesday,Maximum_Load,11.74,1.04,0.0,98.85,99.99,64800,76.75
Weekday,Tuesday,Maximum_Load,15.23,0.14,0.0,93.98,100.0,65700,41.9
Weekday,Tuesday,Maximum_Load,19.94,0.0,0.0,88.24,100.0,66600,37.4
Weekday,Tuesday,Maximum_Load,8.82,0.5,0.0,97.68,99.99,67500,40.25
Weekday,Tuesday,Maximum_Load,1.98,1.58,0.0,99.84,99.9,68400,34.92
Weekday,Tuesday,Maximum_Load,6.44,0.43,0.0,98.81,99.99,69300,41.36
Weekday,Tuesday,Maximum_Load,2.52,1.37,0.0,99.76,99.93,70200,35.96
Weekday,Tuesday,Maximum_Load,5.29,0.47,0.0,99.11,99.99,71100,39.42
Weekday,Tuesday,Maximum_Load,4.68,0.5,0.0,99.26,99.99,72000,38.16
Weekday,Tuesday,Medium_Load,1.51,3.96,0.0,99.9,99.3,72900,33.23
Weekday,Tuesday,Medium_Load,0.0,12.13,0.0,100.0,90.55,73800,25.88
Weekday,Tuesday,Medium_Load,0.0,23.22,0.0,100.0,42.3,74700,10.84
Weekday,Tuesday,Medium_Load,0.0,23.51,0.0,100.0,36.75,75600,9.29
Weekday,Tuesday,Medium_Load,0.0,25.16,0.0,100.0,26.73,76500,6.98
Weekday,Tuesday,Medium_Load,0.0,26.5,0.0,100.0,18.93,77400,5.11
Weekday,Tuesday,Medium_Load,0.0,26.42,0.0,100.0,18.88,78300,5.08
Weekday,Tuesday,Medium_Load,0.0,26.46,0.0,100.0,18.71,79200,5.04
Weekday,Tuesday,Maximum_Load,1.84,15.44,0.0,93.69,30.42,80100,4.93
Weekday,Tuesday,Maximum_Load,5.22,0.0,0.0,66.44,100.0,81000,4.64
Weekday,Tuesday,Maximum_Load,5.18,0.0,0.0,67.04,100.0,81900,4.68
Weekday,Tuesday,Maximum_Load,5.11,0.0,0.0,67.54,100.0,82800,4.68
Weekday,Tuesday,Light_Load,4.54,0.0,0.0,70.94,100.0,83700,4.57
Weekday,Tuesday,Light_Load,4.25,0.0,0.0,73.23,100.0,84600,4.57
Weekday,Tuesday,Light_Load,4.25,0.0,0.0,73.0,100.0,85500,4.54
Weekday,Tuesday,Light_Load,4.21,0.0,0.0,73.84,100.0,0,4.61
Weekday,Wednesday,Light_Load,4.61,0.0,0.0,70.71,100.0,900,4.61
Weekday,Wednesday,Light_Load,4.54,0.0,0.0,71.25,100.0,1800,4.61
Weekday,Wednesday,Light_Load,4.5,0.0,0.0,71.25,100.0,2700,4.57
Weekday,Wednesday,Light_Load,4.61,0.0,0.0,70.4,100.0,3600,4.57
Weekday,Wednesday,Light_Load,4.46,0.0,0.0,72.1,100.0,4500,4.64
Weekday,Wednesday,Light_Load,4.57,0.0,0.0,71.25,100.0,5400,4.64
Weekday,Wednesday,Light_Load,4.79,0.0,0.0,69.34,100.0,6300,4.61
Weekday,Wednesday,Light_Load,4.5,0.0,0.0,71.25,100.0,7200,4.57
Weekday,Wednesday,Light_Load,4.39,0.0,0.0,72.42,100.0,8100,4.61
Weekday,Wednesday,Light_Load,4.75,0.0,0.0,69.88,100.0,9000,4.64
Weekday,Wednesday,Light_Load,4.75,0.0,0.0,69.88,100.0,9900,4.64
Weekday,Wednesday,Light_Load,4.75,0.0,0.0,69.33,100.0,10800,4.57
Weekday,Wednesday,Light_Load,5.11,0.0,0.0,67.22,100.0,11700,4.64
Weekday,Wednesday,Light_Load,4.72,0.0,0.0,70.1,100.0,12600,4.64
Weekday,Wednesday,Light_Load,4.68,0.0,0.0,70.71,100.0,13500,4.68
Weekday,Wednesday,Light_Load,4.46,0.0,0.0,71.57,100.0,14400,4.57
Weekday,Wednesday,Light_Load,4.32,0.0,0.0,72.44,100.0,15300,4.54
Weekday,Wednesday,Light_Load,4.46,0.0,0.0,71.87,100.0,16200,4.61
Weekday,Wednesday,Light_Load,4.32,0.0,0.0,72.67,100.0,17100,4.57
Weekday,Wednesday,Light_Load,4.32,0.0,0.0,72.97,100.0,18000,4.61
Weekday,Wednesday,Light_Load,4.14,0.0,0.0,73.89,100.0,18900,4.54
Weekday,Wednesday,Light_Load,4.21,0.0,0.0,73.55,100.0,19800,4.57
Weekday,Wednesday,Light_Load,4.43,0.0,0.0,71.8,100.0,20700,4.57
Weekday,Wednesday,Light_Load,4.5,0.0,0.0,71.25,100.0,21600,4.57
Weekday,Wednesday,Light_Load,4.61,0.0,0.0,70.94,100.0,22500,4.64
Weekday,Wednesday,Light_Load,4.36,0.0,0.0,72.35,100.0,23400,4.57
Weekday,Wednesday,Light_Load,4.54,0.0,0.0,71.25,100.0,24300,4.61
Weekday,Wednesday,Light_Load,4.28,0.0,0.0,72.76,100.0,25200,4.54
Weekday,Wednesday,Light_Load,4.18,0.0,0.0,72.96,100.0,26100,4.46
Weekday,Wednesday,Light_Load,4.25,0.0,0.0,82.14,100.0,27000,6.12
Weekday,Wednesday,Light_Load,4.68,0.0,0.0,86.09,100.0,27900,7.92
Weekday,Wednesday,Light_Load,4.36,0.0,0.0,91.02,100.0,28800,9.58
Weekday,Wednesday,Light_Load,21.56,0.0,0.02,86.41,100.0,29700,37.01
Weekday,Wednesday,Light_Load,35.86,0.0,0.03,90.13,100.0,30600,74.59
Weekday,Wednesday,Light_Load,53.32,0.0,0.05,89.9,100.0,31500,109.48
Weekday,Wednesday,Light_Load,31.82,0.0,0.05,95.71,100.0,32400,105.08
Weekday,Wednesday,Medium_Load,41.26,0.0,0.06,94.71,100.0,33300,121.79
Weekday,Wednesday,Medium_Load,30.24,0.0,0.05,96.68,100.0,34200,114.48
Weekday,Wednesday,Medium_Load,21.96,0.0,0.03,95.89,100.0,35100,74.2
Weekday,Wednesday,Medium_Load,7.13,0.04,0.02,99.15,100.0,36000,54.32
Weekday,Wednesday,Maximum_Load,25.06,0.0,0.03,94.87,100.0,36900,75.17
Weekday,Wednesday,Maximum_Load,12.24,0.0,0.03,97.85,100.0,37800,58.07
Weekday,Wednesday,Maximum_Load,15.08,0.0,0.03,97.56,100.0,38700,67.03
Weekday,Wednesday,Maximum_Load,31.64,0.04,0.03,92.06,100.0,39600,74.59
Weekday,Wednesday,Maximum_Load,23.9,0.0,0.03,92.36,100.0,40500,57.56
Weekday,Wednesday,Maximum_Load,48.06,0.0,0.04,85.32,100.0,41400,78.62
Weekday,Wednesday,Maximum_Load,44.17,0.0,0.03,84.28,100.0,42300,69.16
Weekday,Wednesday,Maximum_Load,44.78,0.0,0.03,85.57,100.0,43200,74.05
Weekday,Wednesday,Medium_Load,0.5,20.45,0.01,99.9,48.27,44100,11.27
Weekday,Wednesday,Medium_Load,0.0,26.21,0.0,100.0,29.89,45000,8.21
Weekday,Wednesday,Medium_Load,0.0,25.56,0.0,100.0,30.34,45900,8.14
Weekday,Wednesday,Medium_Load,0.0,25.74,0.0,100.0,28.66,46800,7.7
Weekday,Wednesday,Medium_Load,21.38,6.08,0.02,92.29,99.3,47700,51.26
Weekday,Wednesday,Medium_Load,13.64,0.0,0.02,96.81,100.0,48600,52.7
Weekday,Wednesday,Medium_Load,17.24,0.0,0.03,95.55,100.0,49500,55.84
Weekday,Wednesday,Medium_Load,17.32,0.0,0.03,95.71,100.0,50400,57.2
Weekday,Wednesday,Medium_Load,30.6,0.0,0.04,92.86,100.0,51300,76.57
Weekday,Wednesday,Medium_Load,20.45,0.0,0.03,94.83,100.0,52200,61.13
Weekday,Wednesday,Medium_Load,26.42,0.0,0.03,92.98,100.0,53100,66.74
Weekday,Wednesday,Medium_Load,16.42,0.0,0.03,95.93,100.0,54000,55.8
Weekday,Wednesday,Medium_Load,18.25,0.0,0.03,95.31,100.0,54900,57.46
Weekday,Wednesday,Medium_Load,28.08,0.0,0.03,93.04,100.0,55800,71.28
Weekday,Wednesday,Medium_Load,28.62,0.0,0.03,93.13,100.0,56700,73.15
Weekday,Wednesday,Medium_Load,25.81,0.0,0.03,93.66,100.0,57600,68.98
Weekday,Wednesday,Medium_Load,27.79,0.0,0.04,95.05,100.0,58500,85.0
Weekday,Wednesday,Medium_Load,41.9,0.0,0.05,94.1,100.0,59400,116.53
Weekday,Wednesday,Medium_Load,39.06,0.0,0.05,94.98,100.0,60300,118.62
Weekday,Wednesday,Medium_Load,35.64,0.0,0.05,94.7,100.0,61200,105.05
Weekday,Wednesday,Maximum_Load,52.96,0.0,0.06,93.57,100.0,62100,140.51
Weekday,Wednesday,Maximum_Load,41.15,0.0,0.05,94.06,100.0,63000,114.01
Weekday,Wednesday,Maximum_Load,39.2,0.0,0.06,95.48,100.0,63900,125.96
Weekday,Wednesday,Maximum_Load,13.25,1.69,0.03,98.42,99.97,64800,73.62
Weekday,Wednesday,Maximum_Load,12.74,0.54,0.02,94.33,99.99,65700,36.22
Weekday,Wednesday,Maximum_Load,18.43,0.0,0.02,90.75,100.0,66600,39.82
Weekday,Wednesday,Maximum_Load,4.18,1.94,0.02,99.37,99.86,67500,37.08
Weekday,Wednesday,Maximum_Load,5.47,0.18,0.02,99.2,100.0,68400,42.98
Weekday,Wednesday,Maximum_Load,0.86,1.58,0.02,99.97,99.91,69300,37.94
Weekday,Wednesday,Maximum_Load,3.74,0.79,0.02,99.56,99.98,70200,39.71
Weekday,Wednesday,Maximum_Load,5.69,0.18,0.02,99.14,100.0,71100,43.2
Weekday,Wednesday,Maximum_Load,1.19,1.66,0.02,99.95,99.9,72000,37.33
Weekday,Wednesday,Medium_Load,5.62,0.54,0.02,99.07,99.99,72900,41.0
Weekday,Wednesday,Medium_Load,2.88,1.22,0.02,99.7,99.95,73800,37.3
Weekday,Wednesday,Medium_Load,2.02,6.98,0.02,99.81,97.8,74700,32.72
Weekday,Wednesday,Medium_Load,0.0,23.83,0.0,100.0,38.13,75600,9.83
Weekday,Wednesday,Medium_Load,0.0,24.8,0.0,100.0,30.56,76500,7.96
Weekday,Wednesday,Medium_Load,0.0,26.82,0.0,100.0,19.88,77400,5.44
Weekday,Wednesday,Medium_Load,0.0,26.78,0.0,100.0,18.74,78300,5.11
Weekday,Wednesday,Medium_Load,0.0,26.78,0.0,100.0,18.99,79200,5.18
Weekday,Wednesday,Maximum_Load,1.91,15.16,0.0,93.34,31.15,80100,4.97
Weekday,Wednesday,Maximum_Load,5.26,0.0,0.0,67.02,100.0,81000,4.75
Weekday,Wednesday,Maximum_Load,5.15,0.0,0.0,66.94,100.0,81900,4.64
Weekday,Wednesday,Maximum_Load,4.97,0.0,0.0,68.24,100.0,82800,4.64
Weekday,Wednesday,Light_Load,4.39,0.0,0.0,73.22,100.0,83700,4.72
Weekday,Wednesday,Light_Load,4.25,0.0,0.0,73.52,100.0,84600,4.61
Weekday,Wednesday,Light_Load,4.43,0.0,0.0,71.8,100.0,85500,4.57
Weekday,Wednesday,Light_Load,4.5,0.0,0.0,71.25,100.0,0,4.57
Weekday,Thursday,Light_Load,4.57,0.0,0.0,71.02,100.0,900,4.61
Weekday,Thursday,Light_Load,4.57,0.0,0.0,71.25,100.0,1800,4.64
Weekday,Thursday,Light_Load,4.68,0.0,0.0,70.41,100.0,2700,4.64
Weekday,Thursday,Light_Load,4.79,0.0,0.0,69.34,100.0,3600,4.61
Weekday,Thursday,Light_Load,4.64,0.0,0.0,70.48,100.0,4500,4.61
Weekday,Thursday,Light_Load,4.93,0.0,0.0,68.3,100.0,5400,4.61
Weekday,Thursday,Light_Load,4.64,0.0,0.0,71.01,100.0,6300,4.68
Weekday,Thursday,Light_Load,4.79,0.0,0.0,69.58,100.0,7200,4.64
Weekday,Thursday,Light_Load,4.75,0.0,0.0,69.65,100.0,8100,4.61
Weekday,Thursday,Light_Load,4.9,0.0,0.0,68.76,100.0,9000,4.64
Weekday,Thursday,Light_Load,4.9,0.0,0.0,68.52,100.0,9900,4.61
Weekday,Thursday,Light_Load,4.93,0.0,0.0,68.85,100.0,10800,4.68
Weekday,Thursday,Light_Load,5.0,0.0,0.0,68.34,100.0,11700,4.68
Weekday,Thursday,Light_Load,4.86,0.0,0.0,68.82,100.0,12600,4.61
Weekday,Thursday,Light_Load,4.86,0.0,0.0,68.82,100.0,13500,4.61
Weekday,Thursday,Light_Load,5.15,0.0,0.0,67.25,100.0,14400,4.68
Weekday,Thursday,Light_Load,4.72,0.0,0.0,69.87,100.0,15300,4.61
Weekday,Thursday,Light_Load,4.72,0.0,0.0,70.1,100.0,16200,4.64
Weekday,Thursday,Light_Load,4.54,0.0,0.0,71.48,100.0,17100,4.64
Weekday,Thursday,Light_Load,4.64,0.0,0.0,70.48,100.0,18000,4.61
Weekday,Thursday,Light_Load,4.5,0.0,0.0,71.56,100.0,18900,4.61
Weekday,Thursday,Light_Load,4.5,0.0,0.0,71.79,100.0,19800,4.64
Weekday,Thursday,Light_Load,4.39,0.0,0.0,72.42,100.0,20700,4.61
Weekday,Thursday,Light_Load,4.54,0.0,0.0,71.25,100.0,21600,4.61
Weekday,Thursday,Light_Load,4.64,0.0,0.0,70.48,100.0,22500,4.61
Weekday,Thursday,Light_Load,4.82,0.0,0.0,69.35,100.0,23400,4.64
Weekday,Thursday,Light_Load,4.68,0.0,0.0,69.86,100.0,24300,4.57
